# MCP 서버에서 제공하는 한국 날씨 정보 지원 도시 목록
# 총 158개 도시 지원
# 형식: 한국어명 (영어명) - 위도, 경도

# 수도권
서울 (Seoul) - 37.5665, 126.978
인천 (Incheon) - 37.4563, 126.7052
인천시 (Incheon City) - 37.4563, 126.7052
부평 (Bupyeong) - 37.5075, 126.722
계양 (Gyeyang) - 37.5372, 126.7374
서구 (Seo-gu) - 35.0979, 129.0244
미추홀 (Michuhol) - 37.4634, 126.65
연수 (Yeonsu) - 37.4106, 126.6788
남동 (Namdong) - 37.4474, 126.731
중구 (Jung-gu) - 35.1064, 129.0323
동구 (Dong-gu) - 35.1294, 129.0454
강화 (Ganghwa) - 37.7464, 126.488
옹진 (Ongjin) - 37.4461, 126.6372
세종 (Sejong) - 36.48, 127.289
성남 (Seongnam) - 37.4449, 127.1389
성남시 (Seongnam City) - 37.4449, 127.1389
수원 (Suwon) - 37.2636, 127.0286
수원시 (Suwon City) - 37.2636, 127.0286
의정부 (Uijeongbu) - 37.7381, 127.0339
안양 (Anyang) - 37.3925, 126.9269
부천 (Bucheon) - 37.5036, 126.766
광명 (Gwangmyeong) - 37.4794, 126.8646
평택 (Pyeongtaek) - 36.992, 127.1128
동두천 (Dongducheon) - 37.9036, 127.0606
안산 (Ansan) - 37.3219, 126.8309
고양 (Goyang) - 37.6584, 126.832
고양시 (Goyang City) - 37.6584, 126.832
과천 (Gwacheon) - 37.4291, 126.9879
구리 (Guri) - 37.5944, 127.1296
남양주 (Namyangju) - 37.6364, 127.216
오산 (Osan) - 37.1498, 127.0772
시흥 (Siheung) - 37.3799, 126.8031
군포 (Gunpo) - 37.3616, 126.9352
의왕 (Uiwang) - 37.3446, 126.9683
하남 (Hanam) - 37.5392, 127.2148
용인 (Yongin) - 37.2411, 127.1776
용인시 (Yongin City) - 37.2411, 127.1776
파주 (Paju) - 37.8154, 126.7929
이천 (Icheon) - 37.272, 127.435
안성 (Anseong) - 37.008, 127.2797
김포 (Gimpo) - 37.6156, 126.7158
화성 (Hwaseong) - 37.1995, 126.8314
여주 (Yeoju) - 37.2984, 127.637
양평 (Yangpyeong) - 37.4914, 127.4874

# 부산권
부산 (Busan) - 35.1796, 129.0756
부산시 (Busan City) - 35.1796, 129.0756
영도구 (Yeongdo-gu) - 35.0912, 129.0677
부산진구 (Busanjin-gu) - 35.1626, 129.0526
동래구 (Dongnae-gu) - 35.2055, 129.0785
남구 (Nam-gu) - 35.1366, 129.0829
북구 (Buk-gu) - 35.1972, 129.0109
해운대구 (Haeundae-gu) - 35.163, 129.1636
사하구 (Saha-gu) - 35.1047, 128.975
금정구 (Geumjeong-gu) - 35.2431, 129.0922
강서구 (Gangseo-gu) - 35.2125, 128.98
연제구 (Yeonje-gu) - 35.1766, 129.0799
수영구 (Suyeong-gu) - 35.1456, 129.113
사상구 (Sasang-gu) - 35.1527, 128.991
기장군 (Gijang-gun) - 35.2444, 129.2222

# 대구권
대구 (Daegu) - 35.8714, 128.6014

# 광주권
광주 (Gwangju) - 37.4295, 127.2551

# 대전권
대전 (Daejeon) - 36.3504, 127.3845

# 울산권
울산 (Ulsan) - 35.5384, 129.3114

# 제주권
제주 (Jeju) - 33.4996, 126.5312
제주시 (Jeju City) - 33.4996, 126.5312
서귀포 (Seogwipo) - 33.2541, 126.56

# 강원도
강릉 (Gangneung) - 37.7519, 128.8761
춘천 (Chuncheon) - 37.8813, 127.73
원주 (Wonju) - 37.3422, 127.9202
속초 (Sokcho) - 38.1667, 128.5667
동해 (Donghae) - 37.5236, 129.1144
태백 (Taebaek) - 37.1667, 128.9833
삼척 (Samcheok) - 37.45, 129.1667
정선 (Jeongseon) - 37.3833, 128.6667

# 충청북도
청주 (Cheongju) - 36.6424, 127.489
충주 (Chungju) - 36.9911, 127.9261
